symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,drift_coefficient_1_mean,error_drift_coefficient_1_mean,drift_coefficient_2_mean,error_drift_coefficient_2_mean,average_error_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,drift_coefficient_2_variance,error_drift_coefficient_2_variance,drift_coefficient_3_variance,error_drift_coefficient_3_variance,average_error_variance
IMOEX.ME,7,2,2471,absolute log-return,1,-1.1108345288974002e-06,9.22216002280423e-08,0.0008587878553352783,6.846045168675399e-05,3251444.7711838936,48063972.42541631,315266.83371978934,1305065.7884443433,-192.7046981593339,813.8941990219139,0.0004429339276097321,92,2392,-0.32822025456613174,167736.86459533416,-6.950865025188949e-07,2.7702023981821005e-07,2.584058480022041e-07,0.1320582107460285,6270.148277458843,46696783820.08306,-3.792555285679917,36335212.895362176,-0.0008940327209639741,8036.546479766316,1.8391305821209405e-05
IMOEX.ME,89,2,2403,log-return,1,1.497945455820713e-07,1.2752057439562946e-07,3.284721851962911e-05,0.00010726467923509973,-160921024.34364066,9704202443.04651,66177.5660879919,10346241.26297521,41.52555918427397,10258.993357739519,0.00011953494588745529,92,2392,-0.043844472319657345,28285.15228416095,-9.371998460399988e-07,8.11325262415304e-07,2.5495029607247994e-06,1.6453201340967178,436.97500694963463,2815010040.3931646,0.19336637486069494,1408408.9194835273,-0.00034409692088401483,1525.2477188723797,2.3405350145588495e-05
IMOEX.ME,1,2,2473,log-return volatility,1,-6.656817573552648e-05,2.5485568127671477e-06,0.04646534438277985,0.0018502704247511746,103162370.24681327,652068292.8682052,67663.20686121115,1430228.4630633562,-91.60487068194041,1186.9276764471783,0.027845022770302933,82,2460,42.02834369585612,10521027.69751901,-0.002079494791445004,0.0004954072483775901,-5.872994854783391e-06,1.4696442196700905,31597.73350569221,125681508106.21843,28.539024470493413,105874187.40049219,-0.032217687178949676,65718.60922273398,0.039928813715023166
^BVSP,4,2,7404,absolute log-return,1,-1.1561889931489686e-06,4.151189560110093e-08,-0.0016810182884626093,8.985576525386453e-05,119686733.0054499,23751141.557727534,-89693.16083755059,34433.17340975094,11.61888787262131,8.269675725559944,0.001007422204059159,230,7360,-1.3175913405909338e-05,6.283837889293886e-06,-5.281884463577295e-07,1.8132282113765315e-07,0.004064466043833551,0.0005897674662509312,1183923.0505452373,16488999086.517273,-161.84705297517166,2856460.2070484804,-0.030686855910421917,730.8365420700833,9.374311274853394e-06
^BVSP,5,2,7405,log-return,1,4.001479435226075e-07,4.093174484315477e-08,-0.004067817088742169,8.866851166480693e-05,153518780.60043657,302121246.4101418,-33716.344647497026,719.7632694172516,-1.5611683032575976,16.64715946770639,0.0006020869966116108,267,7209,5.352014527520415e-06,5.865484127060145e-06,5.884174252855202e-07,6.134764550373213e-07,0.00963476334616016,0.0008503107917570295,10050.932800391782,2475726710.58679,6.3509041562264095,1732239.1600124622,-0.0018409308927661825,332.7589655054146,2.359316775823043e-05
^BVSP,1,2,7405,log-return volatility,1,-6.833108362471075e-05,1.5133611313629531e-06,-0.06876933225736465,0.003283472044753062,-3003323539.9411206,669643935.2283168,617203.3593461482,431997.0739164412,38.999784178616736,50.91306037973341,0.0754135272625434,226,7232,2.440819755264913e-05,0.00021965254539155497,0.00024813573469769653,0.0009557153753182993,0.4299783483527831,0.028510392043512148,61168.783126955415,16475634489.0335,922.655109746636,210098010.8629022,-0.19187977294830957,42930.846950767824,0.04477322575199659
^DJI,299,2,7774,absolute log-return,1,2.1659009686600574e-08,1.18273425927667e-07,0.0008640927014977103,0.00032472044474653856,3774396298.2784,35344836319.057175,-615405.530896429,5120464.088340218,-61.60027882097431,2382.6909378077426,0.0003466966478744097,265,7685,1.1746991880812684e-05,1.052248465242164e-06,2.5961613702685423e-07,7.056752384159387e-08,0.0021811139285296067,0.0004510746622220918,128970.96128487245,10817250913.887053,-6.6946436088900505,5022273.997910388,-0.005155681331463271,617.5055417134575,3.990822069385051e-06
^DJI,306,2,7650,log-return,1,-4.970674308994358e-08,2.1131459043614252e-08,7.135519784265828e-05,5.903974691424599e-05,-520013405.8776083,5079621368.474865,198225.0539268346,1359483.3350860996,-11.971133545546072,235.15047303459096,6.400120109681409e-05,304,7600,-1.704436326154677e-05,1.3752762757405486e-06,5.561741399723938e-07,1.3132178779876013e-07,-0.003246189708622603,0.0005634181258668085,36131.85911539722,11584696483.489885,6.999034706396644,2810489.8153973743,-0.0031941599292933305,812.13259878732,6.618764201154733e-06
^DJI,2,2,7868,log-return volatility,1,3.0346241295869814e-05,1.3921997596429057e-06,0.12763206925689063,0.003194886737537255,-115922514.16644576,107280501.20644167,-69458.6023730794,671092.6394319028,18.857367253430265,133.12257696734187,0.05409929026676773,284,7668,0.0031351726056190986,0.00027936002960417754,0.02171851263740747,0.00466433298905327,0.6856186046247963,0.0942316366349939,-1681937.257974248,753424968451.052,1763.5287981879526,441157211.0927406,-0.25445049055049473,75265.98294297967,0.2504328264790455
^FCHI,108,2,8316,absolute log-return,1,-2.3562859416591264e-07,6.275237586868215e-08,0.00116040899686499,0.00017247546155726276,-51948504.34786327,7474734175.68706,-229342.1534207011,186023.2886356374,43.28478337810944,339.5251138839274,0.0003568664524665356,294,8232,1.1801249195237473e-05,9.095205094250028e-07,4.961341020408611e-07,6.360114217073668e-08,0.004044493956368244,0.00023014322210352896,68615.56171792271,6936241918.038145,-34.86918476909997,2030024.2739780452,0.0032579192827604927,402.8825940779526,3.6437539100081405e-06
^FCHI,275,2,8250,log-return,1,-1.508195674677708e-08,1.4789687578358356e-08,3.8054048477558304e-05,3.444995625320644e-05,-1456554131.8245165,4308764040.954004,-241667.7037514232,1395483.1093116493,106.36752352468815,241.66499726310423,6.615931669067458e-05,295,8260,1.70969613569148e-05,1.1017845789860782e-06,1.0122479349450724e-06,1.1032046050143104e-07,0.005729274483857919,0.0002826293717974603,-60988.393525846834,6970343469.495566,-9.220459421986599,1934765.0169493302,0.004279683253468384,175.78370381614764,5.827251535173113e-06
^FCHI,1,2,8397,log-return volatility,1,1.4752076507424282e-05,1.2426175977996852e-06,0.09515148518775039,0.0030453081837992302,-2154075632.410092,60490131.45590292,-90807.33671836721,420308.4146520248,107.70533451301431,77.63090953466225,0.07744963055672073,282,8178,0.0029497045173726257,0.0001993938328807488,0.03154499903444543,0.0034730506318002784,1.0324458747897485,0.048528435079467865,432356.6926566314,47541606138.174835,-1.9764283800535625,210550.32451694,-0.01870900812987782,2091.9344617265992,0.1835754662290913
^FTSE,2,2,9912,absolute log-return,1,1.2962399062453998e-07,3.131943476505482e-09,-0.00017504024487465842,9.025347800399149e-06,-157829233.33004478,3648032.520916145,22712.344957992886,1805.317775764754,1.3819955941784343,0.1618022976066007,0.00023647426646540096,313,9703,-0.0012915045842376831,939.2897447727365,-1.4045433365051729e-08,7.002328947566612e-08,1.2329535978870953e-06,0.8967015880764689,11125.212445932259,56898409131.37891,-2.155941084854988,11891982.743987987,-2.087963504174942e-05,113.70819978981055,5.091822131395504e-06
^FTSE,384,2,9600,log-return,1,-6.164515458365592e-08,9.024490494924972e-09,7.681598768874534e-05,3.074011332352748e-05,-377736996.74394923,2169885027.5347686,-204812.86837830272,542850.842854194,42.803806337155876,121.67765020997726,3.7131056646790754e-05,313,9703,3.826188677087175e-07,6.595835072954923e-06,1.130203617966241e-08,1.048508976102618e-07,0.0014715397989304242,0.0011669105045952395,1808484.36309725,34830900864.86222,233.15495730691174,4647458.00257084,-0.09218363641602094,596.1380143806363,8.007240271126274e-06
^FTSE,1,2,9912,log-return volatility,1,6.207708359271189e-05,6.32937565873892e-07,-0.022444664134955356,0.0018218143438666408,249238119.2066199,1718700702.3348348,-54140.98589722084,251763.44010958742,0.5853657978067683,14.35982656069633,0.05676522251511222,320,9600,0.0005267913232319983,0.0007982109894059862,0.0031070657699934176,0.004958623201625368,0.4981243526445557,0.16308414917323852,3545186.9708231166,2672603756195.2056,4679.8887261191285,917348296.8555491,-0.8327565640220054,157049.90984364436,0.3715774409225403
^GDAXI,342,2,8892,absolute log-return,1,-1.618655708942878e-07,9.695419112877893e-08,0.0012137304415634498,0.00027634320713765465,20383057.077517547,92900510639.72609,5836.547724357837,20793661.86870788,-1.7247816886234717,724.8748134153873,0.00044828888461554393,216,8856,8.091993084635643e-06,1.8879479711452543e-06,1.9313969552626914e-07,8.67834812828219e-08,0.002311979475992375,0.0005588298809894883,12845.828965605513,12026873168.662148,6.652939970362785,3081414.145659817,-0.0015987258103046145,446.95178050691214,7.233865523154584e-06
