symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,rsquared_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance,rsquared_variance
AUD=X,158,0,4266,absolute log-return,1,-2.928643770953823e-06,3.4152330639750756e-07,0.001794173118093195,0.00027193915575721,0.0020078671429835655,0.001547596127332994,0.0011727763879067908,0.7472639900537328,210,4200,0.00027082085606041425,1.4610663545307071e-05,0.00022547131742484304,1.5918242123813372e-05,0.08285702152181781,0.0017406052215291714,-0.4601098678324838,0.006638245088576941,0.000375248705991065,0.9943196027468221
AUD=X,197,0,4334,log-return,1,9.80711794860514e-08,1.3518243319187583e-08,-3.8930849820413565e-05,1.0290012387538398e-05,-1.6110031632427258e-05,5.805672324753734e-05,4.49185742437592e-05,0.7385098300724384,210,4200,0.00027268056149264613,1.4846227696259296e-05,0.00022855676515438097,1.6285314667423876e-05,0.08342080927016837,0.0017687078771322269,-0.4632971937439651,0.0067442533361886095,0.00038270775082450937,0.9942176443991495
AUD=X,157,0,4239,log-return volatility,1,-2.1721590453259675e-05,1.550409062534588e-06,0.02946274696997386,0.0012274859451116024,0.007615531579679293,0.006978389948161121,0.005794958232916539,0.9598808735872687,210,4200,0.0005231345543050765,3.2049177003524425e-05,0.0008790326455729261,6.929816043389508e-05,0.16689417567589399,0.0037619672044128683,-0.944809464113333,0.013952256494151877,0.0015200341261869823,0.994376792457852
BHDUSD=X,201,0,5025,absolute log-return,1,-1.9668535039756847e-06,1.2713939387202572e-07,0.004504842701352793,0.00023350923558184742,-0.023263349712840418,0.001485317698300249,0.00021439387101855595,0.9594553512141724,208,4992,0.0173285507110757,5397.614498333946,-1.5758738451703478e-06,3.9827342885428396e-06,-1.142633068138785e-05,3.5609343150500585,3.19469206277133,995064.1625668207,0.00013306352075283357,0.6876085460135187
BHDUSD=X,203,0,5075,log-return,1,1.888012829212334e-09,2.5793770467592885e-09,-1.3707672669157842e-05,4.560410582435124e-06,0.0001087242488579012,2.8803296019664224e-05,3.7194413062598693e-06,0.6335259056612805,208,4992,0.03407618431882436,37991.76271257381,-1.2737114637410022e-06,2.9047516942453486e-06,-4.81978401394784e-06,5.376939105033548,6.3799320832145066,7112967.3607716365,0.00013503506523581234,0.6870939357439441
BHDUSD=X,203,0,5075,log-return volatility,1,-6.2061538443367505e-06,3.5817037591655527e-06,0.022186905142902738,0.00633255184866784,0.273655770341205,0.039996039416276545,0.005416119263497706,0.5669829589321276,210,5040,0.46735889100364475,431542.9667114897,0.00021674935978804118,0.00023799840415630947,5.122398702416942e-05,47.31313477025267,39.658410709606734,36619697.31857688,0.007252907768603285,0.6844474068771333
BRL=X,216,0,4536,absolute log-return,1,-6.329930303448944e-07,8.386753108409031e-08,0.0012865707014854126,6.361757380771415e-05,-1.720659421403078e-05,0.0003571961657855295,0.0002644554463051979,0.965571337658482,216,4536,2.333575057393495e-05,3.490251532270938e-06,2.060744059582051e-06,3.8426841698762735e-07,0.008692182082959677,0.00042003019507082473,-0.05249622569238622,0.001430860061468434,8.050914001351317e-06,0.9840011238991776
BRL=X,196,0,4508,log-return,1,3.28751331959185e-07,5.2219569706562974e-08,-0.00010007488251622483,4.17166301458708e-05,-0.00023889946107647536,0.00023748843305888059,0.00017097289643836365,0.6974362266235473,216,4536,2.1096723156771864e-05,5.073500021107228e-06,1.773171545718052e-06,5.235951296199926e-07,0.00827309141296925,0.0006013155526802285,-0.052070577941217146,0.0019002208583960819,1.1522874147404487e-05,0.9713734932247159
BRL=X,219,0,4380,log-return volatility,1,-0.00021527529264766686,1.698645658929006e-05,0.3659679079037345,0.012688293459700867,0.05767888931352785,0.07127109777987817,0.05043093006092848,0.9814726444632611,216,4536,-0.0010349623500599762,0.001461298667126751,-0.0018109014602250774,0.001708293845007636,0.18264862834000845,0.08886267962870283,-2.8923182181122717,0.581186863207519,0.03643068706759367,0.9744680314030374
CAD=X,245,0,4900,absolute log-return,1,-4.077566357634279e-07,6.095882406493095e-08,0.0007120400556312138,4.8505785518730164e-05,4.3254823758163525e-05,0.00027615299784157835,0.00017579224781091307,0.9343050120372242,221,4862,1.0389845255274348e-05,1.4020303026353049e-06,1.45160468726429e-07,5.3685376179882304e-08,0.0014785829000859114,0.000366223766061169,-0.007865820358428229,0.0015760985762711727,1.6365487331472918e-06,0.806484037071469
CAD=X,253,0,5060,log-return,1,8.1812770265289e-08,7.393796776693561e-09,-4.0191286742879524e-05,6.282139037155912e-06,-1.365989497978971e-05,3.610424360855554e-05,2.9079362353353886e-05,0.8752681501513484,243,4860,1.3921977282743083e-05,2.2275237912042436e-06,2.8970045919196147e-07,1.1422183650319344e-07,0.002194748911893437,0.0005325305934283075,-0.012220868352918066,0.0021833192569489937,3.2335314151631104e-06,0.8326408933914358
