symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,rsquared_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance,rsquared_variance
IMOEX.ME,123,0,2460,absolute log-return,1,-1.717903865377638e-06,2.6846617576272894e-07,0.0015172815340946592,0.00012006594397316226,0.0003248024017032663,0.0006120899370365183,0.0004965696298841319,0.9074321783984627,111,2442,0.027141748251094416,11201.10602502613,-8.11561742862025e-07,9.74258316255912e-07,-3.712613684491816e-06,1.5321517760721244,6.946132529846805,2866574.4137243466,2.1153140100473915e-05,0.5774437242035175
IMOEX.ME,8,0,2480,log-return,1,-3.5443434459524993e-07,4.261258480237437e-08,0.0005581423739762876,2.963233129121762e-05,-0.0031909526690931654,0.0001599704846994485,0.00012057151183969629,0.6502776785984836,123,2460,0.05282073840134144,27142.210750546794,-1.1024591010748976e-06,6.895034160560669e-07,-2.5023386599001117e-06,1.2858384756876975,19.05964895294707,9793880.192221243,2.364280132848455e-05,0.6441144031400802
IMOEX.ME,119,0,2380,log-return volatility,1,-0.00028927560122268093,3.90721273827341e-05,0.2630393869098285,0.01696963632289186,0.07980942912196924,0.08600617057701809,0.06480471680454139,0.9381107604773026,123,2460,-0.5097047391008108,34748.09683466012,-0.00210931480446352,0.0026763727000929088,0.0004899922503572845,33.43652398833089,-236.9480244714107,16152909.704063818,0.03847980206677463,0.8197283311534451
^BVSP,1,0,7411,absolute log-return,1,-1.01117918080517e-06,1.881607907663067e-08,-0.002070356358504756,4.068589001094872e-05,0.039779413299356865,0.00026433422852656743,0.0009374301715148307,0.8506385724555111,230,7360,-1.3175906576797418e-05,6.021091092856689e-06,-5.281882510605187e-07,1.7374077525494786e-07,0.004064466675999797,0.0005653850148602157,-0.05380731298455428,0.0017811173571791567,9.37431894752416e-06,0.9899997885625897
^BVSP,1,0,7411,log-return,1,5.471850021486713e-07,1.650222186860233e-08,-0.004462956240748107,3.5682651085796905e-05,0.036735746177564366,0.00023182842970684747,0.0005230196725414094,0.8412971532966533,312,7176,-5.585790926566019e-06,9.108442112462501e-06,-4.032811912874959e-07,7.175861461013116e-07,0.008477506170726404,0.0011303653147975198,-0.0801996961041561,0.0013295395547822198,2.3877885136008703e-05,0.9840195325640896
^BVSP,365,0,7300,log-return volatility,1,-0.00023999045172270046,3.4625451317289396e-05,0.4336592534974654,0.04083779060584898,0.2009974385743306,0.24819753427387042,0.17320031038282596,0.8627230648766022,312,7176,0.00021200417839179996,0.00023917163128960806,0.0012487845960930757,0.0012454076093545514,0.48663652365892374,0.03417588516225367,-4.098489081624054,0.06947303355909756,0.042368656292879586,0.9917084447100355
^DJI,378,0,7560,absolute log-return,1,6.606348963216439e-08,6.244535302733653e-08,0.0008368163472849015,7.599649008059797e-05,-0.0001834728061123139,0.00046427922844789917,0.0003539785073404857,0.9366005750504534,385,7700,1.143715347891315e-05,1.1898427489144812e-06,2.508980053304977e-07,8.554130578204374e-08,0.0021627512854573224,0.0005782775752645122,-0.010988241889269987,0.0031973697679690462,3.838707962881806e-06,0.9514580889174554
^DJI,342,0,7866,log-return,1,-4.834086555427297e-08,1.0180458901840333e-08,7.067916965096624e-05,1.3406960372984773e-05,-1.6813476574150403e-05,8.313617934665082e-05,6.512783297951323e-05,0.588922803746794,385,7700,1.6247035952829332e-05,1.4069765548468262e-06,5.00088908941534e-07,1.4407153138334261e-07,0.0030567279760193304,0.0006891091072947864,-0.015920924537429482,0.0037230052381858865,6.558650179354823e-06,0.9544371638561963
^DJI,393,0,7860,log-return volatility,1,-0.00015069332169497863,2.0840050670961425e-05,0.69998388489062,0.026263337890288674,0.12029782134703472,0.16137074531599113,0.09987308551397026,0.9814042482212761,385,7700,0.0029842433084802927,0.0003066387923932377,0.020224700493084398,0.005327632069725938,0.6691451453949258,0.11640746444706349,-3.9035420982517217,0.5570036960134258,0.2398247375385584,0.9642918544606539
^FCHI,418,0,8360,absolute log-return,1,-2.648135001000963e-07,5.8155408447715515e-08,0.0013027009257949066,7.745941692893686e-05,0.000201403314449483,0.00048024769592311297,0.00032899117583330315,0.954456354326428,392,8232,1.2535185413036149e-05,8.486109435788924e-07,5.788856296590197e-07,6.620714121899695e-08,0.004436324964162219,0.00022808452191208506,-0.026332067331081684,0.001094650332644741,3.298607195812445e-06,0.9682238501966258
^FCHI,113,0,8362,log-return,1,-1.6300562485371942e-08,1.3125730565001124e-08,9.787934089660529e-05,2.4869469871121668e-05,-0.0005787766328263634,0.0001619063944804241,9.83615656963272e-05,0.23907457229901152,392,8232,1.6873506482553406e-05,1.2539471488194778e-06,1.006944295876944e-06,1.3033782708497376e-07,0.00576714692996429,0.00034540116899890846,-0.03499157158189999,0.0016128069792910487,6.106506175605544e-06,0.9673687070541801
^FCHI,419,0,8380,log-return volatility,1,-0.00018670418291701687,3.309567795907646e-05,0.775444625382215,0.04417605073708785,0.20763856341805392,0.2739863548357588,0.17141161785667597,0.955614112974495,392,8232,0.00296939361359307,0.00020976658610463638,0.03231637800641958,0.003875422402543563,1.0497393005812297,0.05642245096726384,-6.502426518822617,0.2564044601991438,0.18561162993404048,0.9766300967542969
^FTSE,479,0,9580,absolute log-return,1,-1.3084180452987046e-07,4.1149385318891983e-08,0.0009482451413965283,5.960259353446764e-05,0.000195733738042286,0.0003747851749651892,0.00026716306435069844,0.9555707760453667,479,9580,-0.026579302718107396,37685.64678409139,-1.5592602088517006e-08,2.4483280077430867e-08,6.545692622863719e-08,0.09280851192567137,-101.61657950950472,144077708.83453178,4.670776737931907e-06,0.8383114517432669
^FTSE,384,0,9600,log-return,1,-6.164515497267719e-08,4.475994970856937e-09,7.681598853028062e-05,7.024865407430729e-06,3.0243982530411067e-05,4.5093945789761474e-05,3.685589790474442e-05,0.8981595597567914,479,9580,-0.0015635478444393852,530.9938533228668,-3.621523369796775e-08,1.207304533116599e-07,2.480937540335284e-06,0.842539957052943,-5.858045842432818,1989415.1509091002,7.5164400998228015e-06,0.8928635278459427
^FTSE,479,0,9580,log-return volatility,1,-0.00011596680271568354,2.4039660459984295e-05,0.7120952962933991,0.03482010723264663,0.15260422237053575,0.21895120878371274,0.14307504795286263,0.9714088284156475,479,9580,0.00026205741541501554,0.0013912116252185133,0.001399027933855412,0.006504067521386034,0.3994482430973996,0.2794894574691366,-4.489774028893701,0.2570752654347191,0.3506622714178234,0.9258190915520419
^GDAXI,445,0,8900,absolute log-return,1,-1.4988460133960704e-07,6.911566408770508e-08,0.0012256538461745776,9.73793310205996e-05,0.0001594553955043698,0.0006092523580530692,0.0004204310121865866,0.9297253775166507,445,8900,8.798232561389449e-06,2.7225220609680085e-06,1.9344098931229991e-07,1.6286527027462925e-07,0.0021469772262051896,0.0012421881648789503,-0.014836852116482706,0.004995967906748703,7.389553465889613e-06,0.8553337091629709
^GDAXI,8,0,8912,log-return,1,2.5588140536891144e-08,3.652224487496917e-09,-0.0002729818943924111,9.285506513418492e-06,0.0025662630528463484,6.190405253316188e-05,8.307553613451904e-05,0.6583324818721601,445,8900,1.3542114492478934e-05,3.3666366094908173e-06,5.540734991285264e-07,2.9767160192998164e-07,0.003975163491301351,0.0012262207887092536,-0.025653625632587964,0.0054826515209117,1.2768332657854458e-05,0.8660936398290227
^GDAXI,445,0,8900,log-return volatility,1,-0.0001273597415709935,1.7142677431968993e-05,0.6987205927136216,0.024152884923726234,0.10539045285602523,0.15111216011604367,0.09953999548494116,0.9843368472639612,445,8900,0.0020634489808240546,0.0005244003045006018,0.013493800954695885,0.007061866073375264,0.6361568715312994,0.1817780677851375,-4.392828757006233,0.7320429661596953,0.31454881596418205,0.9034665353422932
^GSPC,914,0,23764,absolute log-return,1,-4.196535250173051e-07,5.799065551079514e-08,0.0014831981060116157,0.00020927426640276252,0.0009328991122961795,0.0015074287286639565,0.001212752952443228,0.7457787179933157,1163,23260,-7.337289875316274e-06,2.7039120690375593e-06,-1.6308496442190492e-07,2.6335898730402955e-08,0.002054781316682344,0.00044487151683014715,-0.03802388264734084,0.0025622612791660004,2.8572959080476953e-06,0.9954642579777687
^GSPC,771,0,23901,log-return,1,1.3776742206357828e-08,2.0911811082385507e-09,3.888818698693578e-07,7.855090036961189e-06,-4.228597629199462e-05,5.759853319316764e-05,4.3603891974117725e-05,0.7418881488662381,1179,23580,-6.974787701514108e-06,3.1679245806341503e-06,-2.7823546909018694e-07,7.763115679635473e-08,0.003757565313699751,0.0007332695313986687,-0.05101564491605779,0.0007698749133113859,9.53936250705386e-06,0.9913089724341599
^GSPC,914,0,23764,log-return volatility,1,-7.425393033774111e-05,9.010325478549328e-06,0.4399898250379833,0.032516089384286295,0.16890688182883362,0.2342174448216564,0.18739366259181348,0.8976477863074285,1179,23580,-0.0011790901325940538,0.000533850242699626,-0.0037234960502113158,0.0006757958675734017,0.29163657464691106,0.08224448596269086,-5.835577068190183,0.5902402404037137,0.08396831286932809,0.9946887341856676
^GSPTSE,542,0,10840,absolute log-return,1,-1.7923994464654463e-07,7.534562286758914e-08,0.0007981466234733496,0.00012674501420131823,0.0005714213706955778,0.0008155418307317045,0.0006181936526198766,0.7209726035284696,491,10802,7.092348497592405e-07,2.2131303291005304e-06,2.1501401555374315e-08,4.823052654354631e-08,0.0019306242095118139,0.00046906487555420986,-0.01592368960529936,0.001440349854241315,3.160761334194493e-06,0.8926971486981561
^GSPTSE,546,0,10920,log-return,1,-2.440497404778849e-08,4.4996932663946275e-09,4.65248828499525e-05,7.619545007259586e-06,3.2489336172842866e-05,4.907861703897392e-05,3.1130262941898054e-05,0.6910165621906286,410,10660,2.5944551716644978e-06,1.7389378584447532e-06,1.087395204735046e-07,7.16900190876114e-08,0.003392720171549737,0.0003829667827381499,-0.025606073756938734,0.001401373784723868,5.626268411181648e-06,0.9081783919545151
