symbol,time_series,cumulant_1_mean_om_min,tfs_param_mean_om_min,drift_coefficient_0_mean_om_min,average_error_mean_om_min,Cumulant 1,TFS amplitude,Drift,MAE_p,R2
CAD=X,absolute log-return,-5,-2,-3,-2,$-0.041\pm0.006$,$0.071\pm0.005$,$0.043\pm0.276$,$0.018$,$93.43\%$
CAD=X,log-return,-5,-2,-3,-2,$0.008\pm0.001$,$-0.004\pm0.001$,$-0.014\pm0.036$,$0.003$,$87.53\%$
CAD=X,log-return volatility,-5,-2,-3,-2,$-153.192\pm16.771$,$325.454\pm14.099$,$549.502\pm808.746$,$49.084$,$97.24\%$
CHFUSD=X,absolute log-return,-5,-2,-3,-2,$-0.062\pm0.008$,$0.085\pm0.007$,$0.253\pm0.392$,$0.021$,$89.79\%$
CHFUSD=X,log-return,-5,-2,-3,-2,$-0.006\pm0.001$,$0.004\pm0.001$,$0.021\pm0.045$,$0.003$,$64.86\%$
CHFUSD=X,log-return volatility,-5,-2,-3,-2,$-35.290\pm4.662$,$63.991\pm3.961$,$187.108\pm227.672$,$14.353$,$94.15\%$
EURUSD=X,absolute log-return,-5,-2,-3,-2,$-0.053\pm0.007$,$0.083\pm0.005$,$0.061\pm0.297$,$0.017$,$94.03\%$
EURUSD=X,log-return,-5,-2,-3,-2,$-0.004\pm0.001$,$0.002\pm0.001$,$0.006\pm0.034$,$0.003$,$69.37\%$
EURUSD=X,log-return volatility,-5,-2,-3,-2,$-36.976\pm4.409$,$67.458\pm3.540$,$149.400\pm199.712$,$11.747$,$96.1\%$
GBPUSD=X,absolute log-return,-5,-2,-3,-2,$-0.040\pm0.007$,$0.070\pm0.006$,$0.188\pm0.322$,$0.021$,$90.44\%$
GBPUSD=X,log-return,-5,-2,-3,-2,$0.008\pm0.000$,$-0.027\pm0.001$,$1.799\pm0.044$,$0.005$,$69.06\%$
GBPUSD=X,log-return volatility,-5,-2,-3,-2,$-70.990\pm9.380$,$146.670\pm7.885$,$357.192\pm452.327$,$27.811$,$95.76\%$
SGD=X,absolute log-return,-5,-2,-3,-2,$-0.009\pm0.003$,$0.034\pm0.002$,$0.035\pm0.138$,$0.009$,$94.11\%$
SGD=X,log-return,-5,-2,-3,-2,$0.004\pm0.000$,$-0.003\pm0.000$,$0.013\pm0.023$,$0.002$,$76.94\%$
SGD=X,log-return volatility,-5,-2,-3,-2,$-222.758\pm26.345$,$528.236\pm21.989$,$952.097\pm1259.754$,$70.331$,$97.56\%$
