symbol,time_series,cumulant_1_variance_om_min,cumulant_2_variance_om_min,tfs_param_variance_om_min,drift_coefficient_0_variance_om_min,average_error_variance_om_min,Cumulant 1,Cumulant 2,TFS amplitude,Drift,MAE_p,R2
CAD=X,absolute log-return,-3,-5,-2,0,-4,$0.010\pm0.001$,$0.014\pm0.005$,$0.144\pm0.038$,$-0.008\pm0.002$,$0.017$,$80.25\%$
CAD=X,log-return,-3,-5,-2,0,-4,$0.014\pm0.002$,$0.029\pm0.011$,$0.219\pm0.053$,$-0.012\pm0.002$,$0.032$,$83.26\%$
CAD=X,log-return volatility,-3,-5,-2,0,-4,$21.039\pm3.528$,$69534.299\pm27103.198$,$347.964\pm79.702$,$-19.957\pm3.137$,$76243.991$,$85.46\%$
CHFUSD=X,absolute log-return,-3,-5,-2,0,-4,$0.015\pm0.001$,$0.042\pm0.005$,$0.291\pm0.020$,$-0.015\pm0.001$,$0.017$,$92.95\%$
CHFUSD=X,log-return,-3,-5,-2,0,-4,$0.018\pm0.001$,$0.064\pm0.007$,$0.373\pm0.019$,$-0.020\pm0.001$,$0.023$,$94.49\%$
CHFUSD=X,log-return volatility,-3,-5,-2,0,-4,$4.210\pm0.304$,$3996.612\pm495.965$,$96.756\pm5.394$,$-5.419\pm0.223$,$1451.775$,$95.46\%$
EURUSD=X,absolute log-return,-3,-5,-2,0,-4,$0.430\pm279.144$,$0.027\pm0.031$,$0.007\pm4.566$,$0.035\pm23.370$,$0.077$,$69.05\%$
EURUSD=X,log-return,-3,-5,-2,0,-4,$0.027\pm0.010$,$0.046\pm0.037$,$0.190\pm0.201$,$-0.010\pm0.009$,$0.093$,$73.94\%$
EURUSD=X,log-return volatility,-3,-5,-2,0,-4,$5.400\pm0.995$,$2431.621\pm1824.301$,$49.244\pm37.920$,$-2.990\pm1.350$,$4554.661$,$81.45\%$
GBPUSD=X,absolute log-return,-3,-5,-2,0,-4,$0.008\pm0.002$,$0.012\pm0.006$,$0.153\pm0.039$,$-0.009\pm0.002$,$0.014$,$80.23\%$
GBPUSD=X,log-return,-3,-5,-2,0,-4,$0.011\pm0.003$,$0.024\pm0.010$,$0.233\pm0.046$,$-0.014\pm0.002$,$0.026$,$83.62\%$
GBPUSD=X,log-return volatility,-3,-5,-2,0,-4,$6.933\pm1.846$,$9371.452\pm4773.416$,$139.366\pm35.631$,$-8.483\pm1.294$,$12218.166$,$85.84\%$
SGD=X,absolute log-return,-3,-5,-2,0,-4,$0.006\pm0.000$,$0.006\pm0.001$,$0.098\pm0.008$,$-0.005\pm0.000$,$0.003$,$93.16\%$
SGD=X,log-return,-3,-5,-2,0,-4,$0.008\pm0.001$,$0.012\pm0.002$,$0.142\pm0.013$,$-0.007\pm0.001$,$0.006$,$93.8\%$
SGD=X,log-return volatility,-3,-5,-2,0,-4,$34.421\pm3.006$,$197979.137\pm37108.586$,$595.499\pm63.291$,$-32.220\pm2.679$,$103936.210$,$94.68\%$
