symbol,time_series,cumulant_1_mean_om_min,tfs_param_mean_om_min,drift_coefficient_0_mean_om_min,average_error_mean_om_min,Cumulant 1,TFS amplitude,Drift,MAE_p,R2
^BVSP,absolute log-return,-6,-3,-4,-3,$-1.01\pm0.02$,$-2.07\pm0.04$,$397.79\pm2.64$,$0.94$,$85.06\%$
^BVSP,log-return,-6,-3,-4,-3,$0.55\pm0.02$,$-4.46\pm0.04$,$367.36\pm2.32$,$0.52$,$84.13\%$
^BVSP,log-return volatility,-6,-3,-4,-3,$-239.99\pm34.63$,$433.66\pm40.84$,$2009.97\pm2481.98$,$173.20$,$86.27\%$
^DJI,absolute log-return,-6,-3,-4,-3,$0.07\pm0.06$,$0.84\pm0.08$,$-1.83\pm4.64$,$0.35$,$93.66\%$
^DJI,log-return,-6,-3,-4,-3,$-0.05\pm0.01$,$0.07\pm0.01$,$-0.17\pm0.83$,$0.07$,$58.89\%$
^DJI,log-return volatility,-6,-3,-4,-3,$-150.69\pm20.84$,$699.98\pm26.26$,$1202.98\pm1613.71$,$99.87$,$98.14\%$
^FTSE,absolute log-return,-6,-3,-4,-3,$-0.13\pm0.04$,$0.95\pm0.06$,$1.96\pm3.75$,$0.27$,$95.56\%$
^FTSE,log-return,-6,-3,-4,-3,$-0.06\pm0.00$,$0.08\pm0.01$,$0.30\pm0.45$,$0.04$,$89.82\%$
^FTSE,log-return volatility,-6,-3,-4,-3,$-115.97\pm24.04$,$712.10\pm34.82$,$1526.04\pm2189.51$,$143.08$,$97.14\%$
^IXIC,absolute log-return,-6,-3,-4,-3,$0.22\pm0.04$,$0.57\pm0.08$,$3.23\pm5.29$,$0.44$,$91.23\%$
^IXIC,log-return,-6,-3,-4,-3,$0.01\pm0.01$,$0.03\pm0.01$,$-0.50\pm0.89$,$0.06$,$60.98\%$
^IXIC,log-return volatility,-6,-3,-4,-3,$-83.03\pm19.62$,$662.71\pm38.33$,$1700.15\pm2502.84$,$179.36$,$96.0\%$
^W5000,absolute log-return,-6,-3,-4,-3,$0.14\pm0.06$,$0.72\pm0.08$,$1.27\pm4.75$,$0.36$,$92.42\%$
^W5000,log-return,-6,-3,-4,-3,$-0.04\pm0.01$,$0.07\pm0.01$,$0.09\pm0.53$,$0.04$,$77.15\%$
^W5000,log-return volatility,-6,-3,-4,-3,$-150.68\pm23.98$,$737.09\pm32.76$,$1555.07\pm2039.79$,$134.98$,$97.37\%$
