,symbol,time_series,cdf_50,cdf_60,cdf_70,cdf_80,cdf_90
47176,^DJI,absolute log-return,82.04211869814932,80.5743458838545,79.1959157626037,78.11104020421186,75.89023611997447
55011,^DJI,log-return volatility,65.743458838545,63.66305041480536,58.95341416719847,43.47160178685386,0.0
62846,^W5000,log-return,0.0,0.0,0.0,0.0,0.0
71443,^W5000,absolute log-return,100.0,100.0,100.0,99.59288123764104,90.07793416308014
80040,^W5000,log-return volatility,57.357217634058394,54.57717808537862,44.864487611957664,38.66465045946261,26.03233686169594
128299,^FTSE,log-return,0.0,0.0,0.0,0.0,0.0
128400,^FTSE,absolute log-return,36.81224034856622,25.76755497010842,0.0,0.0,0.0
138269,^FTSE,log-return volatility,24.409767960279666,0.0,0.0,0.0,0.0
164923,^IXIC,log-return,0.0,0.0,0.0,0.0,0.0
164940,^IXIC,absolute log-return,99.87011994804799,99.23599969439988,80.20475208190084,74.25318970127589,66.81946672778669
178029,^IXIC,log-return volatility,39.08625563450226,37.772175108870044,35.388494155397666,29.3146917258767,10.459164183665678
244350,^BVSP,absolute log-return,88.759163725224,74.34156937279391,64.53977735541679,43.8229704045615,6.027694814010317
251716,^BVSP,log-return volatility,100.0,98.54737985338039,87.32011946782514,73.02470811838175,41.677979907683955
