symbol,time_series,cumulant_1_variance_om_min,cumulant_2_variance_om_min,tfs_param_variance_om_min,drift_coefficient_0_variance_om_min,average_error_variance_om_min,Cumulant 1,Cumulant 2,TFS amplitude,Drift,MAE_p,R2
^BVSP,absolute log-return,-4,-6,-6,0,-4,$-0.13\pm0.06$,$-0.53\pm0.17$,$4064.47\pm565.39$,$-0.05\pm0.00$,$0.09$,$99.0\%$
^BVSP,log-return,-4,-6,-6,0,-4,$-0.06\pm0.09$,$-0.40\pm0.72$,$8477.51\pm1130.37$,$-0.08\pm0.00$,$0.24$,$98.4\%$
^BVSP,log-return volatility,-4,-6,-6,0,-4,$2.12\pm2.39$,$1248.78\pm1245.41$,$486636.52\pm34175.89$,$-4.10\pm0.07$,$423.69$,$99.17\%$
^DJI,absolute log-return,-4,-6,-6,0,-4,$0.11\pm0.01$,$0.25\pm0.09$,$2162.75\pm578.28$,$-0.01\pm0.00$,$0.04$,$95.15\%$
^DJI,log-return,-4,-6,-6,0,-4,$0.16\pm0.01$,$0.50\pm0.14$,$3056.73\pm689.11$,$-0.02\pm0.00$,$0.07$,$95.44\%$
^DJI,log-return volatility,-4,-6,-6,0,-4,$29.84\pm3.07$,$20224.70\pm5327.63$,$669145.15\pm116407.46$,$-3.90\pm0.56$,$2398.25$,$96.43\%$
^FTSE,absolute log-return,-4,-6,-6,0,-4,$-265.79\pm376856467.84$,$-0.02\pm0.02$,$0.07\pm92808.51$,$-101.62\pm144077708.83$,$0.05$,$83.83\%$
^FTSE,log-return,-4,-6,-6,0,-4,$-15.64\pm5309938.53$,$-0.04\pm0.12$,$2.48\pm842539.96$,$-5.86\pm1989415.15$,$0.08$,$89.29\%$
^FTSE,log-return volatility,-4,-6,-6,0,-4,$2.62\pm13.91$,$1399.03\pm6504.07$,$399448.24\pm279489.46$,$-4.49\pm0.26$,$3506.62$,$92.58\%$
^IXIC,absolute log-return,-4,-6,-6,0,-4,$0.04\pm0.03$,$0.10\pm0.10$,$2319.09\pm967.23$,$-0.01\pm0.01$,$0.08$,$90.01\%$
^IXIC,log-return,-4,-6,-6,0,-4,$0.03\pm0.04$,$0.11\pm0.16$,$2729.96\pm1333.64$,$-0.02\pm0.01$,$0.12$,$90.13\%$
^IXIC,log-return volatility,-4,-6,-6,0,-4,$8.86\pm5.83$,$6253.66\pm5612.35$,$602167.86\pm205889.67$,$-4.23\pm0.97$,$4165.43$,$91.89\%$
^W5000,absolute log-return,-4,-6,-6,0,-4,$0.10\pm0.01$,$0.36\pm0.09$,$3334.91\pm402.13$,$-0.02\pm0.00$,$0.04$,$94.45\%$
^W5000,log-return,-4,-6,-6,0,-4,$0.14\pm0.02$,$0.68\pm0.14$,$4581.14\pm487.74$,$-0.03\pm0.00$,$0.07$,$94.79\%$
^W5000,log-return volatility,-4,-6,-6,0,-4,$28.40\pm3.22$,$28311.38\pm5728.79$,$953225.00\pm93703.77$,$-5.62\pm0.46$,$2659.17$,$96.05\%$
