symbol,time_series,cumulant_1_mean_om_min,tfs_param_mean_om_min,drift_coefficient_0_mean_om_min,average_error_mean_om_min,Cumulant 1,TFS amplitude,Drift,MAE_p,R2
CHFUSD=X,absolute log-return,-6,-4,-3,-3,$-4.450\pm0.428$,$12.464\pm0.942$,$0.445\pm0.412$,$0.306$,$90.7\%$
CHFUSD=X,log-return,-6,-4,-3,-3,$1.390\pm0.062$,$-9.272\pm0.203$,$5.213\pm0.094$,$0.125$,$75.47\%$
CHFUSD=X,log-return volatility,-6,-4,-3,-3,$-2251.434\pm215.419$,$8621.670\pm473.583$,$224.283\pm207.269$,$148.823$,$95.21\%$
EURUSD=X,absolute log-return,-6,-4,-3,-3,$-4.142\pm0.426$,$10.694\pm0.927$,$0.557\pm0.405$,$0.321$,$85.97\%$
EURUSD=X,log-return,-6,-4,-3,-3,$-0.120\pm0.161$,$0.032\pm0.351$,$0.165\pm0.153$,$0.106$,$4.82\%$
EURUSD=X,log-return volatility,-6,-4,-3,-3,$-2534.809\pm263.684$,$8726.006\pm573.529$,$341.580\pm250.248$,$204.169$,$91.66\%$
GBPUSD=X,absolute log-return,-6,-4,-3,-3,$-3.794\pm0.401$,$9.981\pm0.889$,$0.593\pm0.389$,$0.328$,$84.19\%$
GBPUSD=X,log-return,-6,-4,-3,-3,$-0.396\pm0.256$,$0.064\pm0.567$,$0.378\pm0.249$,$0.155$,$17.94\%$
GBPUSD=X,log-return volatility,-6,-4,-3,-3,$-5465.733\pm724.491$,$18833.190\pm1607.330$,$1158.763\pm704.360$,$566.686$,$85.59\%$
^DJI,absolute log-return,-6,-4,-3,-3,$0.457\pm0.146$,$6.746\pm0.969$,$0.249\pm0.530$,$0.411$,$91.56\%$
^DJI,log-return,-6,-4,-3,-3,$-0.069\pm0.027$,$0.884\pm0.191$,$-0.078\pm0.106$,$0.086$,$53.04\%$
^DJI,log-return volatility,-6,-4,-3,-3,$-334.675\pm57.592$,$7432.826\pm394.992$,$188.441\pm218.462$,$156.857$,$96.32\%$
^GSPC,absolute log-return,-6,-4,-3,-3,$-0.575\pm0.070$,$16.723\pm1.940$,$0.545\pm1.339$,$1.041$,$84.18\%$
^GSPC,log-return,-6,-4,-3,-3,$0.018\pm0.003$,$-0.046\pm0.078$,$-0.030\pm0.056$,$0.040$,$76.93\%$
^GSPC,log-return volatility,-6,-4,-3,-3,$-98.031\pm11.022$,$4689.814\pm304.933$,$109.752\pm210.542$,$165.275$,$93.75\%$
