symbol,time_series,cumulant_1_variance_om_min,cumulant_2_variance_om_min,tfs_param_variance_om_min,drift_coefficient_0_variance_om_min,average_error_variance_om_min,Cumulant 1,Cumulant 2,TFS amplitude,Drift,MAE_p,R2
CHFUSD=X,absolute log-return,-3,-5,-5,0,-5,$-0.183\pm2.178$,$-0.019\pm0.005$,$11.900\pm138.688$,$-0.064\pm0.736$,$0.033$,$99.05\%$
CHFUSD=X,log-return,-3,-5,-5,0,-5,$-0.022\pm0.022$,$-0.025\pm0.017$,$134.688\pm42.263$,$-0.019\pm0.003$,$0.103$,$98.33\%$
CHFUSD=X,log-return volatility,-3,-5,-5,0,-5,$-0.555\pm1.371$,$-130.270\pm698.028$,$62797.436\pm3632.876$,$-4.790\pm0.057$,$4493.453$,$99.59\%$
EURUSD=X,absolute log-return,-3,-5,-5,0,-5,$-0.037\pm0.030$,$-0.018\pm0.006$,$59.719\pm30.215$,$-0.014\pm0.005$,$0.044$,$98.55\%$
EURUSD=X,log-return,-3,-5,-5,0,-5,$-0.034\pm0.030$,$-0.033\pm0.018$,$121.047\pm46.187$,$-0.018\pm0.004$,$0.136$,$97.66\%$
EURUSD=X,log-return volatility,-3,-5,-5,0,-5,$3.921\pm0.957$,$2639.295\pm669.639$,$73630.129\pm2852.379$,$-4.357\pm0.026$,$4062.600$,$99.53\%$
GBPUSD=X,absolute log-return,-3,-5,-5,0,-5,$-0.038\pm0.029$,$-0.019\pm0.006$,$64.292\pm29.384$,$-0.012\pm0.004$,$0.051$,$97.29\%$
GBPUSD=X,log-return,-3,-5,-5,0,-5,$-6.989\pm44188.424$,$-0.054\pm0.019$,$0.968\pm6123.696$,$-1.574\pm9949.261$,$0.143$,$95.92\%$
GBPUSD=X,log-return volatility,-3,-5,-5,0,-5,$-29.412\pm27.837$,$-17797.358\pm9299.397$,$78446.749\pm36413.012$,$-11.487\pm3.111$,$70367.900$,$94.89\%$
^DJI,absolute log-return,-3,-5,-5,0,-5,$0.020\pm0.002$,$0.065\pm0.011$,$327.943\pm28.116$,$-0.015\pm0.001$,$0.242$,$96.07\%$
^DJI,log-return,-3,-5,-5,0,-5,$0.028\pm0.003$,$0.131\pm0.022$,$473.872\pm40.020$,$-0.022\pm0.002$,$0.510$,$96.15\%$
^DJI,log-return volatility,-3,-5,-5,0,-5,$5.233\pm0.525$,$4735.302\pm821.468$,$93033.959\pm7571.637$,$-4.752\pm0.309$,$18993.147$,$96.79\%$
^GSPC,absolute log-return,-3,-5,-5,0,-5,$31.538\pm0.000$,$-0.019\pm0.002$,$-0.054\pm0.000$,$86.192\pm0.000$,$0.583$,$97.35\%$
^GSPC,log-return,-3,-5,-5,0,-5,$-37.339\pm0.000$,$-0.039\pm0.004$,$0.095\pm0.000$,$-92.875\pm0.000$,$1.433$,$94.97\%$
^GSPC,log-return volatility,-3,-5,-5,0,-5,$-732.660\pm0.000$,$-395.242\pm0.000$,$48.974\pm0.000$,$-2086.094\pm0.000$,$14336.119$,$96.41\%$
