symbol,time_series,cumulant_1_mean_om_min,tfs_param_mean_om_min,drift_coefficient_0_mean_om_min,average_error_mean_om_min,Cumulant 1,TFS amplitude,Drift,MAE_p,R2
CHFUSD=X,absolute log-return,-6,-5,-4,-3,$-0.625\pm0.080$,$85.276\pm6.822$,$2.528\pm3.921$,$0.205$,$89.79\%$
CHFUSD=X,log-return,-6,-5,-4,-3,$-0.055\pm0.009$,$3.608\pm0.786$,$0.212\pm0.454$,$0.028$,$64.86\%$
CHFUSD=X,log-return volatility,-6,-5,-4,-3,$-352.913\pm46.628$,$63994.829\pm3961.785$,$1871.234\pm2276.888$,$143.544$,$94.15\%$
COP=X,absolute log-return,-6,-5,-4,-3,$6.689\pm0.946$,$-9.463\pm82.850$,$5.236\pm47.868$,$3.602$,$81.81\%$
COP=X,log-return,-6,-5,-4,-3,$0.177\pm0.017$,$-7.580\pm1.374$,$-0.508\pm0.786$,$0.060$,$87.78\%$
COP=X,log-return volatility,-6,-5,-4,-3,$-3.454\pm0.553$,$646.904\pm48.313$,$22.534\pm27.337$,$1.841$,$92.29\%$
EURUSD=X,absolute log-return,-6,-5,-4,-3,$-0.527\pm0.066$,$82.741\pm5.265$,$0.609\pm2.970$,$0.173$,$94.03\%$
EURUSD=X,log-return,-6,-5,-4,-3,$-0.044\pm0.007$,$1.903\pm0.580$,$0.055\pm0.336$,$0.026$,$69.37\%$
EURUSD=X,log-return volatility,-6,-5,-4,-3,$-369.781\pm44.090$,$67460.928\pm3540.455$,$1494.074\pm1997.217$,$117.474$,$96.1\%$
GBPUSD=X,absolute log-return,-6,-5,-4,-3,$-0.401\pm0.067$,$69.932\pm5.620$,$1.878\pm3.224$,$0.212$,$90.44\%$
GBPUSD=X,log-return,-6,-5,-4,-3,$0.084\pm0.005$,$-26.550\pm0.719$,$17.992\pm0.438$,$0.050$,$69.06\%$
GBPUSD=X,log-return volatility,-6,-5,-4,-3,$-709.928\pm93.803$,$146674.342\pm7885.518$,$3572.035\pm4523.428$,$278.119$,$95.76\%$
^BVSP,absolute log-return,-6,-5,-4,-3,$-1.011\pm0.019$,$-207.069\pm4.068$,$397.812\pm2.643$,$0.937$,$85.07\%$
^BVSP,log-return,-6,-5,-4,-3,$0.547\pm0.016$,$-446.299\pm3.568$,$367.359\pm2.318$,$0.523$,$84.13\%$
^BVSP,log-return volatility,-6,-5,-4,-3,$-239.952\pm34.620$,$43363.416\pm4083.186$,$2009.686\pm2481.615$,$173.182$,$86.27\%$
^DJI,absolute log-return,-6,-5,-4,-3,$0.066\pm0.062$,$83.682\pm7.600$,$-1.835\pm4.643$,$0.354$,$93.66\%$
^DJI,log-return,-6,-5,-4,-3,$-0.048\pm0.010$,$7.068\pm1.341$,$-0.168\pm0.831$,$0.065$,$58.89\%$
^DJI,log-return volatility,-6,-5,-4,-3,$-150.678\pm20.837$,$69997.745\pm2625.941$,$1202.734\pm1613.466$,$99.854$,$98.14\%$
^GSPC,absolute log-return,-6,-5,-4,-3,$-0.420\pm0.058$,$148.320\pm20.927$,$9.329\pm15.074$,$1.213$,$74.58\%$
^GSPC,log-return,-6,-5,-4,-3,$0.014\pm0.002$,$0.039\pm0.786$,$-0.423\pm0.576$,$0.044$,$74.19\%$
^GSPC,log-return volatility,-6,-5,-4,-3,$-74.256\pm9.011$,$43998.882\pm3251.740$,$1689.127\pm2342.269$,$187.402$,$89.76\%$
^N225,log-return,-6,-5,-4,-3,$-0.042\pm0.004$,$7.979\pm0.937$,$-0.257\pm0.633$,$0.047$,$82.88\%$
^N225,absolute log-return,-6,-5,-4,-3,$0.058\pm0.051$,$76.671\pm10.557$,$3.973\pm7.002$,$0.520$,$87.58\%$
^N225,log-return volatility,-6,-5,-4,-3,$-61.432\pm10.877$,$55951.607\pm2232.211$,$1004.334\pm1480.546$,$99.685$,$98.07\%$
